Time,Raw,Mag,Freq,ROCOF,EstV,LSE,Trig,Gated
11914.0625,-19293.1690,20202.3538,59.4032,-0.0003,-19423.7469,17050.5799,0,0.0000
11979.1667,-19382.8962,20205.8543,59.4032,0.1598,-19556.3607,30089.9390,0,0.0000
12044.2708,-19458.5039,20209.1248,59.2540,-2291.9910,-19676.9654,47725.4263,0,0.0000
12109.3750,-19520.2198,20212.3398,59.2540,0.0003,-19785.9920,70634.8829,0,0.0000
12174.4792,-19594.6888,20215.3952,59.4032,2291.8309,-19883.4925,83407.5373,0,0.0000
12239.5833,-19668.7024,20217.5209,59.2540,-2291.8287,-19968.1683,89679.8246,0,0.0000
12304.6875,-19730.1906,20217.4204,59.2540,-0.0022,-20038.9228,95315.5838,0,0.0000
12369.7917,-19797.5998,20213.3125,59.1048,-2291.8314,-20093.7866,87726.6023,0,0.0000
12434.8958,-19861.8208,20207.1397,59.1048,0.0200,-20134.8262,74531.9252,0,0.0000
12500.0000,-19908.7340,20199.5857,59.1048,-0.0197,-20162.6924,64494.8796,0,0.0000
12565.1042,-19939.7058,20189.8095,59.2540,2291.8334,-20176.5751,56107.0682,0,0.0000
12630.2083,-19965.8952,20181.1301,59.1048,-2291.8337,-20179.6693,45699.3380,0,0.0000
12695.3125,-19998.9167,20174.3178,59.2540,2291.8314,-20172.8148,30240.5730,0,0.0000
12760.4167,-20024.4229,20167.3510,59.2546,10.2307,-20153.9588,16779.5610,0,0.0000
12825.5208,-20035.3541,20159.8433,59.2540,-10.2310,-20122.7354,7635.4846,0,0.0000
12890.6250,-20039.6811,20151.7205,59.2540,0.0003,-20079.0993,1553.8008,0,0.0000
12955.7292,-20031.7104,20142.2978,59.2540,-0.0003,-20022.4086,86.5238,0,0.0000
13020.8333,-20006.4319,20131.8204,59.4032,2291.8336,-19952.7960,2876.8056,0,0.0000
13085.9375,-19974.3214,20121.6098,59.2540,-2291.8333,-19871.9268,10484.6543,0,0.0000
13151.0417,-19952.9144,20111.9622,59.4032,2291.8309,-19779.7925,29971.1854,0,0.0000
13216.1458,-19931.9629,20102.6452,59.4032,0.0199,-19676.3879,65318.5757,0,0.0000
13281.2500,-19886.1883,20093.4804,59.4032,-0.0199,-19561.6065,105353.3525,0,0.0000
13346.3542,-19826.7498,20083.8334,59.2540,-2291.8309,-19435.2195,153295.9827,0,0.0000
13411.4583,-19753.4194,20072.9572,59.5524,4583.6621,-19295.6757,209529.3438,0,0.0000
13476.5625,-19647.9786,20060.8370,59.4032,-2291.8287,-19144.0066,253987.7625,0,0.0000
13541.6667,-19525.9132,20047.9350,59.5524,2291.8287,-18980.0759,297938.3005,0,0.0000
13606.7708,-19379.2525,20034.4263,59.5524,0.0000,-18804.5153,330322.7700,0,0.0000
13671.8750,-19187.2727,20020.5149,59.7016,2291.8314,-18617.1991,324983.9374,0,0.0000
13736.9792,-18973.8859,20006.3741,59.5524,-2291.8315,-18419.2952,307570.9318,0,0.0000
13802.0833,-18739.3199,19991.8279,59.7016,2291.8312,-18209.8571,280330.8545,0,0.0000
13867.1875,-18464.2173,19976.6662,59.7016,-0.0000,-17989.2980,225548.3052,0,0.0000
