Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1154390400131249920,-2895.97534179688,2744.24267578125,3341.34204101563,0.0,-8137.9189453125,-950.166076660156,11187.51171875
1154390400131379968,-2759.763671875,2465.66943359375,3424.13647460938,0.0,-7734.96484375,-1351.15368652344,11335.9794921875
1154390400131510016,-2629.47436523438,2169.31494140625,3495.10302734375,0.0,-7314.4912109375,-1760.85827636719,11423.3134765625
1154390400131640064,-2481.41845703125,1878.88757324219,3560.15576171875,0.0,-6867.73779296875,-2135.6943359375,11501.9150390625
1154390400131770112,-2333.36254882813,1576.60595703125,3619.29443359375,0.0,-6377.18505859375,-2493.09643554688,11554.3154296875
1154390400131900928,-2167.53979492188,1274.32434082031,3672.51928710938,0.0,-5851.5927734375,-2841.78125,11606.7158203125
1154390400132030976,-2013.5615234375,972.042785644531,3725.74438476563,0.0,-5282.201171875,-3164.31469726563,11641.6494140625
1154390400132161024,-1847.73876953125,657.906982421875,3755.31372070313,-5.91223001480103,-4712.81005859375,-3478.130859375,11650.3828125
1154390400132291072,-1681.91613769531,349.698333740234,3784.88305664063,5.91223001480103,-4108.37890625,-3774.51293945313,11667.849609375
1154390400132421120,-1516.09338378906,29.6354503631592,3808.53857421875,0.0,-3477.66821289063,-4062.17797851563,11650.3828125
1154390400132551936,-1350.27062988281,-284.500335693359,3814.45263671875,0.0,-2846.95751953125,-4341.1259765625,11632.916015625
1154390400132681984,-1184.44799804688,-598.636108398438,3814.45263671875,5.91223001480103,-2189.96728515625,-4620.07373046875,11589.2490234375
1154390400132812032,-1012.70300292969,-906.844787597656,3808.53857421875,0.0,-1541.73706054688,-4925.1728515625,11519.3818359375
1154390400132942080,-852.802551269531,-1215.05346679688,3784.88305664063,0.0,-867.227111816406,-5221.55517578125,11432.046875
1154390400133071872,-686.979797363281,-1517.33508300781,3749.39990234375,0.0,-218.996734619141,-5517.93701171875,11309.779296875
1154390400133202944,-533.001586914063,-1819.61669921875,3713.91650390625,0.0,394.194122314453,-5823.0361328125,11161.3115234375
1154390400133332992,-367.178863525391,-2104.11694335938,3654.77783203125,5.91223001480103,989.865234375,-6119.41845703125,10969.17578125
1154390400133463040,-207.278396606445,-2376.76318359375,3589.72509765625,0.0,1541.73706054688,-6389.64892578125,10742.107421875
1154390400133593088,-41.4556770324707,-2655.33642578125,3512.8447265625,0.0,2058.5693359375,-6633.728515625,10497.5712890625
1154390400133722880,130.289276123047,-2922.05541992188,3430.05029296875,0.0,2566.64184570313,-6834.22216796875,10244.3017578125
1154390400133853952,302.034240722656,-3176.92041015625,3329.51440429688,5.91223001480103,3083.47412109375,-6991.13037109375,9991.033203125
1154390400133984000,473.779174804688,-3419.93090820313,3217.15063476563,5.91223001480103,3617.826171875,-7095.73583984375,9737.763671875
1154390400134114048,651.446350097656,-3662.94165039063,3092.95922851563,0.0,4169.69775390625,-7182.9072265625,9440.8271484375
1154390400134244096,823.191345214844,-3905.95239257813,2956.93994140625,0.0,4695.2900390625,-7270.078125,9100.2236328125
1154390400134374912,1000.85852050781,-4137.10888671875,2809.09301757813,5.91223001480103,5220.88232421875,-7348.5322265625,8698.486328125
1154390400134504960,1184.44799804688,-4356.4111328125,2655.33203125,0.0,5737.71435546875,-7435.70361328125,8235.615234375
1154390400134635008,1344.34838867188,-4569.78662109375,2507.48510742188,0.0,6228.26708984375,-7505.4404296875,7746.5439453125
1154390400134765056,1510.17114257813,-4771.3076171875,2335.98266601563,0.0,6718.81982421875,-7549.02587890625,7231.27197265625
1154390400134895104,1670.07165527344,-4960.974609375,2170.39379882813,0.0,7174.3330078125,-7575.17724609375,6681.06640625
1154390400135025920,1835.89428710938,-5138.787109375,2010.71911621094,0.0,7612.32666015625,-7592.61181640625,6104.66064453125
1154390400135155968,1983.95031738281,-5316.60009765625,1839.21667480469,0.0,8015.28076171875,-7583.89453125,5510.7880859375
1154390400135286016,2143.85083007813,-5476.63134765625,1667.71411132813,0.0,8418.234375,-7575.17724609375,4899.44873046875
1154390400135416064,2285.98461914063,-5618.88134765625,1502.12548828125,0.0,8812.4287109375,-7566.46044921875,4270.642578125
1154390400135546112,2428.11840820313,-5755.20458984375,1330.62292480469,0.0,9189.103515625,-7549.02587890625,3633.10278320313
1154390400135676928,2558.40747070313,-5861.89208984375,1159.12048339844,5.91223001480103,9557.017578125,-7514.15771484375,2978.09643554688
1154390400135806976,2676.85229492188,-5962.65283203125,999.445678710938,0.0,9898.65234375,-7461.85498046875,2314.3564453125
1154390400135937024,2795.29711914063,-6051.55908203125,827.943176269531,0.0,10222.767578125,-7400.8349609375,1659.34985351563
1154390400136067072,2901.8974609375,-6134.5380859375,668.268432617188,0.0,10511.84375,-7313.6640625,1004.34332275391
1154390400136197120,3002.57568359375,-6187.88232421875,502.679779052734,5.91223001480103,10792.1591796875,-7182.9072265625,323.136566162109
1154390400136327936,3085.48681640625,-6229.37158203125,337.091156005859,5.91223001480103,11019.916015625,-7043.43310546875,-296.936279296875
1154390400136457984,3168.39819335938,-6247.15283203125,177.416397094727,5.91223001480103,11212.6328125,-6886.52490234375,-917.009155273438
1154390400136588032,3245.38745117188,-6259.00732421875,17.7416400909424,0.0,11361.55078125,-6703.46533203125,-1510.88171386719
1154390400136718080,3316.45434570313,-6253.080078125,-147.84700012207,-5.91223001480103,11414.1103515625,-6502.9716796875,-2096.02099609375
1154390400136847872,3381.59887695313,-6229.37158203125,-307.521759033203,-5.91223001480103,11484.189453125,-6285.04345703125,-2654.95971679688
1154390400136978944,3440.8212890625,-6193.80908203125,-473.110382080078,0.0,11563.0283203125,-6032.2470703125,-3187.69848632813
1154390400137108992,3494.12158203125,-6140.46533203125,-644.612915039063,0.0,11633.1064453125,-5753.29931640625,-3685.50341796875
1154390400137239040,3535.5771484375,-6081.1943359375,-816.115417480469,0.0,11668.146484375,-5456.9169921875,-4174.57470703125
1154390400137369088,3577.03271484375,-5992.2880859375,-987.617919921875,0.0,11668.146484375,-5125.66650390625,-4637.4462890625
1154390400137499904,3618.48852539063,-5909.30908203125,-1153.20654296875,0.0,11563.0283203125,-4803.13330078125,-5082.8505859375
1154390400137629952,3648.099609375,-5802.62109375,-1330.62292480469,0.0,11484.189453125,-4437.01416015625,-5571.92236328125
1154390400137760000,3671.78857421875,-5684.07958984375,-1508.03930664063,0.0,11396.58984375,-4097.04638671875,-6069.72705078125
1154390400137890048,3683.63305664063,-5553.68359375,-1673.62805175781,0.0,11282.7119140625,-3748.36157226563,-6541.33203125
1154390400138020096,3689.55541992188,-5411.43310546875,-1851.04443359375,0.0,11151.314453125,-3425.828125,-7039.13671875
1154390400138150912,3689.55541992188,-5263.255859375,-2004.80529785156,-5.91223001480103,11011.15625,-3129.44604492188,-7502.00830078125
1154390400138280960,3671.78857421875,-5097.29736328125,-2152.65234375,0.0,10853.478515625,-2806.91259765625,-7982.34619140625
1154390400138411008,3648.099609375,-4901.70361328125,-2306.4130859375,-5.91223001480103,10678.28125,-2475.662109375,-8436.484375
1154390400138541056,3606.64404296875,-4712.03662109375,-2442.43237304688,-5.91223001480103,10485.5634765625,-2126.97729492188,-8846.955078125
1154390400138671104,3559.26611328125,-4498.66162109375,-2584.36547851563,0.0,10292.8466796875,-1769.57543945313,-9231.2255859375
1154390400138801920,3500.04370117188,-4273.43212890625,-2714.47094726563,-11.8244600296021,10073.849609375,-1377.30493164063,-9589.2958984375
1154390400138931968,3423.0546875,-4036.34838867188,-2832.74853515625,-5.91223001480103,9828.5732421875,-985.034606933594,-9921.166015625
1154390400139062016,3346.0654296875,-3793.33764648438,-2951.02612304688,0.0,9539.498046875,-601.481262207031,-10235.568359375
1154390400139192064,3257.23193359375,-3538.47290039063,-3057.47583007813,-11.8244600296021,9224.142578125,-226.645126342773,-10523.771484375
1154390400139322112,3150.63159179688,-3271.75366210938,-3158.01196289063,-11.8244600296021,8882.5078125,165.625289916992,-10785.7744140625
1154390400139452928,3038.10888671875,-3005.03466796875,-3246.71997070313,0.0,8523.353515625,549.178588867188,-11012.8427734375
1154390400139582976,2919.66430664063,-2726.46142578125,-3341.34204101563,-5.91223001480103,8129.1591796875,941.448974609375,-11170.044921875
1154390400139713024,2789.375,-2436.0341796875,-3412.30859375,-11.8244600296021,7726.205078125,1342.4365234375,-11344.712890625
1154390400139843072,2641.31884765625,-2145.60668945313,-3483.27514648438,0.0,7305.7314453125,1725.98974609375,-11449.513671875
1154390400139973120,2499.18530273438,-1849.25207519531,-3560.15576171875,-5.91223001480103,6850.2177734375,2118.26025390625,-11528.115234375
1154390400140103936,2345.20703125,-1546.97058105469,-3619.29443359375,-5.91223001480103,6359.66552734375,2484.37915039063,-11554.3154296875
1154390400140233984,2197.15087890625,-1250.61596679688,-3666.60546875,0.0,5834.0732421875,2824.34692382813,-11597.982421875
1154390400140364032,2025.40600585938,-930.553161621094,-3719.83032226563,-11.8244600296021,5264.681640625,3146.88037109375,-11667.849609375
1154390400140494080,1865.50549316406,-622.344482421875,-3755.31372070313,-5.91223001480103,4669.01025390625,3451.9794921875,-11659.1162109375
1154390400140624896,1705.60510253906,-308.208679199219,-3790.79711914063,-5.91223001480103,4055.81958007813,3739.64453125,-11667.849609375
1154390400140754944,1539.78234863281,11.8541803359985,-3802.62475585938,0.0,3416.34912109375,4027.3095703125,-11650.3828125
1154390400140884992,1373.95959472656,331.917053222656,-3820.36645507813,-11.8244600296021,2776.87866210938,4306.25732421875,-11615.44921875
1154390400141015040,1208.13696289063,646.052856445313,-3820.36645507813,-11.8244600296021,2119.88842773438,4602.6396484375,-11580.515625
1154390400141145088,1042.31420898438,960.188598632813,-3814.45263671875,-5.91223001480103,1454.13830566406,4881.58740234375,-11510.6484375
1154390400141275904,882.413757324219,1262.47021484375,-3790.79711914063,-5.91223001480103,797.148132324219,5195.40380859375,-11414.580078125
1154390400141405952,722.513244628906,1570.67895507813,-3761.2275390625,-5.91223001480103,175.197387695313,5500.5029296875,-11283.5791015625
1154390400141536000,574.457275390625,1867.03344726563,-3725.74438476563,-11.8244600296021,-455.513214111328,5805.60205078125,-11152.578125
1154390400141666048,414.556793212891,2145.60668945313,-3672.51928710938,-11.8244600296021,-1024.90478515625,6101.98388671875,-10960.4423828125
1154390400141796096,248.734069824219,2430.10693359375,-3601.552734375,-11.8244600296021,-1550.49694824219,6389.64892578125,-10733.3740234375
1154390400141926912,76.9891204833984,2702.75317382813,-3530.58618164063,-11.8244600296021,-2058.5693359375,6642.44580078125,-10488.837890625
1154390400142056960,-94.7558364868164,2957.61791992188,-3447.7919921875,-11.8244600296021,-2566.64184570313,6834.22216796875,-10244.3017578125
1154390400142187008,-260.578552246094,3218.40991210938,-3347.25610351563,-11.8244600296021,-3083.47412109375,6964.97900390625,-9991.033203125
1154390400142317056,-438.245758056641,3461.42065429688,-3234.89233398438,-5.91223001480103,-3600.30639648438,7060.8671875,-9737.763671875
1154390400142447104,-615.912963867188,3716.28564453125,-3104.78686523438,0.0,-4143.41845703125,7139.3212890625,-9449.560546875
1154390400142577920,-793.580139160156,3953.369140625,-2968.767578125,-11.8244600296021,-4669.01025390625,7217.775390625,-9108.95703125
1154390400142707968,-971.247314453125,4184.52587890625,-2820.92065429688,0.0,-5194.6025390625,7304.94677734375,-8715.953125
1154390400142838016,-1148.91455078125,4409.7548828125,-2673.07373046875,-5.91223001480103,-5702.67529296875,7383.40087890625,-8261.8154296875
1154390400142968064,-1314.73718261719,4623.13037109375,-2513.39892578125,0.0,-6193.22802734375,7453.1376953125,-7772.744140625
1154390400143098112,-1492.40441894531,4824.6513671875,-2347.81030273438,-11.8244600296021,-6683.7802734375,7496.72314453125,-7248.73876953125
1154390400143228928,-1646.38269042969,5014.318359375,-2194.04931640625,0.0,-7139.2939453125,7514.15771484375,-6698.533203125
1154390400143358976,-1812.20532226563,5198.05810546875,-2016.63305664063,0.0,-7577.287109375,7522.87451171875,-6130.861328125
1154390400143489024,-1972.10583496094,5364.0166015625,-1851.04443359375,-5.91223001480103,-8006.52099609375,7531.591796875,-5528.2548828125
1154390400143619072,-2120.16186523438,5524.0478515625,-1679.54187011719,0.0,-8418.234375,7522.87451171875,-4925.64892578125
1154390400143749888,-2268.2177734375,5666.29833984375,-1508.03930664063,0.0,-8821.1884765625,7514.15771484375,-4288.109375
1154390400143879936,-2410.3515625,5802.62109375,-1342.45068359375,-5.91223001480103,-9197.86328125,7488.00634765625,-3659.30322265625
1154390400144009984,-2534.71850585938,5915.23583984375,-1170.9482421875,0.0,-9574.537109375,7453.1376953125,-3004.29663085938
1154390400144140032,-2665.0078125,6021.923828125,-999.445678710938,0.0,-9924.9326171875,7409.55224609375,-2358.0234375
1154390400144270080,-2783.45263671875,6110.830078125,-839.770935058594,0.0,-10240.287109375,7357.24951171875,-1694.28356933594
1154390400144400896,-2890.05297851563,6181.955078125,-668.268432617188,0.0,-10555.642578125,7261.361328125,-1039.27697753906
1154390400144530944,-2984.80883789063,6235.298828125,-508.593658447266,-5.91223001480103,-10835.958984375,7156.755859375,-401.737335205078
