09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [66%@1497,63%@1497,63%@1497,70%@1497,70%@1497,63%@1497] GR3D_FREQ 0% cpu@49.062C/49.5C soc2@48.468C/48.468C soc0@48.312C/48.5C gpu@48.468C/48.906C tj@49.062C/49.5C soc1@47.406C/47.468C VDD_IN 6289mW/5898mW/6597mW VDD_CPU_GPU_CV 2623mW/2199mW/2662mW VDD_SOC 1391mW/1405mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [66%@1497,66%@1497,66%@1497,71%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@49.218C/49.5C soc2@48.5C/48.5C soc0@48.343C/48.5C gpu@48.468C/48.906C tj@49.218C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5907mW/6597mW VDD_CPU_GPU_CV 2623mW/2209mW/2662mW VDD_SOC 1391mW/1405mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [63%@1497,60%@1497,70%@1497,60%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@49.062C/49.5C soc2@48.437C/48.5C soc0@48.468C/48.5C gpu@48.5C/48.906C tj@49.062C/49.5C soc1@47.281C/47.468C VDD_IN 6289mW/5916mW/6597mW VDD_CPU_GPU_CV 2623mW/2218mW/2662mW VDD_SOC 1391mW/1405mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [70%@1497,72%@1497,69%@1497,58%@1497,63%@1497,63%@1497] GR3D_FREQ 0% cpu@49.062C/49.5C soc2@48.437C/48.5C soc0@48.343C/48.5C gpu@48.656C/48.906C tj@49.125C/49.5C soc1@47.187C/47.468C VDD_IN 6289mW/5924mW/6597mW VDD_CPU_GPU_CV 2623mW/2227mW/2662mW VDD_SOC 1391mW/1404mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [55%@1497,63%@1497,60%@1497,60%@1497,60%@1497,70%@1497] GR3D_FREQ 0% cpu@49.187C/49.5C soc2@48.406C/48.5C soc0@48.531C/48.531C gpu@48.812C/48.906C tj@49.187C/49.5C soc1@47.375C/47.468C VDD_IN 6249mW/5931mW/6597mW VDD_CPU_GPU_CV 2623mW/2235mW/2662mW VDD_SOC 1391mW/1404mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [66%@1497,66%@1497,60%@1497,66%@1497,63%@1497,60%@1497] GR3D_FREQ 0% cpu@49.093C/49.5C soc2@48.531C/48.531C soc0@48.375C/48.531C gpu@48.687C/48.906C tj@49.093C/49.5C soc1@47.406C/47.468C VDD_IN 6289mW/5938mW/6597mW VDD_CPU_GPU_CV 2623mW/2243mW/2662mW VDD_SOC 1391mW/1404mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [70%@1497,63%@1497,66%@1497,63%@1497,66%@1497,63%@1497] GR3D_FREQ 0% cpu@49.187C/49.5C soc2@48.5C/48.531C soc0@48.312C/48.531C gpu@48.937C/48.937C tj@49.187C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5945mW/6597mW VDD_CPU_GPU_CV 2623mW/2251mW/2662mW VDD_SOC 1391mW/1404mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [63%@1497,58%@1497,70%@1497,63%@1497,72%@1497,66%@1497] GR3D_FREQ 0% cpu@49.25C/49.5C soc2@48.5C/48.531C soc0@48.375C/48.531C gpu@48.593C/48.937C tj@49.25C/49.5C soc1@47.312C/47.468C VDD_IN 6289mW/5952mW/6597mW VDD_CPU_GPU_CV 2623mW/2258mW/2662mW VDD_SOC 1391mW/1403mW/1550mW
09-18-2026 21:12:12 RAM 3668/7486MB (lfb 49x4MB) CPU [66%@1497,70%@1497,63%@1497,70%@1497,63%@1497,70%@1497] GR3D_FREQ 0% cpu@49.375C/49.5C soc2@48.531C/48.531C soc0@48.312C/48.531C gpu@48.5C/48.937C tj@49.187C/49.5C soc1@47.5C/47.5C VDD_IN 6249mW/5958mW/6597mW VDD_CPU_GPU_CV 2623mW/2266mW/2662mW VDD_SOC 1391mW/1403mW/1550mW
09-18-2026 21:12:13 RAM 3668/7486MB (lfb 49x4MB) CPU [60%@1497,60%@1497,63%@1497,63%@1497,60%@1497,63%@1497] GR3D_FREQ 0% cpu@49.093C/49.5C soc2@48.375C/48.531C soc0@48.406C/48.531C gpu@48.843C/48.937C tj@49.093C/49.5C soc1@47.343C/47.5C VDD_IN 6249mW/5964mW/6597mW VDD_CPU_GPU_CV 2623mW/2272mW/2662mW VDD_SOC 1391mW/1403mW/1550mW
