method,variant,scope,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events
ATE-S,+latch-timeout only,record 677 only,0.15288394718554552,0.3130739068335655,0.08533747090768037,0.7333333333333333,1.0,11,11,4,1,0.12804154761185235,0.0033960292580982234,8.020833333333334,166719.10258524667,6,4
ATE-S,+both (recommendation 1),all 7 records,0.5431632010081916,0.8128126158783555,0.3819229065130704,0.9400218102508179,0.9534883720930233,43,41,4,1,0.13890842645106496,0.0004245036572622779,1.7147435897435899,357180.7986131714,42,26
ATE-S,+both (recommendation 1),record 677 only,0.15288394718554552,0.3130739068335655,0.08533747090768037,0.7333333333333333,1.0,11,11,4,1,0.12804154761185235,0.0033960292580982234,8.020833333333334,166719.10258524667,6,4
ATE-M,baseline,all 7 records,0.38065798189445793,0.7623655146483073,0.23864894795127353,0.9400218102508179,0.9069767441860465,43,39,2,1,0.1562055637144472,0.0004245036572622779,1.9039351851851851,381002.2786865205,42,26
ATE-M,baseline,record 677 only,0.08487874465049929,0.22526421846058547,0.04483798040693293,0.7933333333333333,0.9090909090909091,11,10,2,1,0.2643036946903456,0.0033960292580982234,7.361111111111111,166810.45711023425,6,4
ATE-M,+dead-release only,all 7 records,0.38065798189445793,0.7623655146483073,0.23864894795127353,0.9400218102508179,0.9069767441860465,43,39,2,1,0.1562055637144472,0.0004245036572622779,1.9039351851851851,381002.2786865205,42,26
ATE-M,+dead-release only,record 677 only,0.08487874465049929,0.22526421846058547,0.04483798040693293,0.7933333333333333,0.9090909090909091,11,10,2,1,0.2643036946903456,0.0033960292580982234,7.361111111111111,166810.45711023425,6,4
ATE-M,+latch-timeout only,all 7 records,0.5460880582831803,0.7679260677366931,0.3848214285714286,0.9400218102508179,0.9069767441860465,43,39,2,1,0.13667265182151905,0.0004245036572622779,1.9039351851851851,381002.34586226667,42,26
ATE-M,+latch-timeout only,record 677 only,0.16620111731843576,0.26140781353509296,0.09282371294851795,0.7933333333333333,0.9090909090909091,11,10,2,1,0.12757331143984887,0.0033960292580982234,7.361111111111111,166810.92734045727,6,4
ATE-M,+both (recommendation 1),all 7 records,0.5460880582831803,0.7679260677366931,0.3848214285714286,0.9400218102508179,0.9069767441860465,43,39,2,1,0.13667265182151905,0.0004245036572622779,1.9039351851851851,381002.34586226667,42,26
ATE-M,+both (recommendation 1),record 677 only,0.16620111731843576,0.26140781353509296,0.09282371294851795,0.7933333333333333,0.9090909090909091,11,10,2,1,0.12757331143984887,0.0033960292580982234,7.361111111111111,166810.92734045727,6,4
ATE-N,baseline,all 7 records,0.35307465395960974,0.6725204720938753,0.22292263610315186,0.8484187568157033,0.813953488372093,43,35,1,1,0.14511521432110588,0.00013061650992685477,4.8731884057971016,428619.02372940734,42,26
ATE-N,baseline,record 677 only,0.06093579978237215,0.10024085955145265,0.03222094361334868,0.56,0.9090909090909091,11,10,1,1,0.2597634081765839,0.0010449320794148381,20.694444444444446,333459.3182270064,6,4
ATE-N,+dead-release only,all 7 records,0.35307465395960974,0.6725204720938753,0.22292263610315186,0.8484187568157033,0.813953488372093,43,35,1,1,0.14511521432110588,0.00013061650992685477,4.8731884057971016,428619.02372940734,42,26
ATE-N,+dead-release only,record 677 only,0.06093579978237215,0.10024085955145265,0.03222094361334868,0.56,0.9090909090909091,11,10,1,1,0.2597634081765839,0.0010449320794148381,20.694444444444446,333459.3182270064,6,4
ATE-N,+latch-timeout only,all 7 records,0.5126853377265239,0.6770753848261754,0.36732766761095376,0.8484187568157033,0.813953488372093,43,35,1,1,0.12558230242817775,0.00013061650992685477,4.8731884057971016,428619.09242275456,42,26
ATE-N,+latch-timeout only,record 677 only,0.12129963898916968,0.12984779231140356,0.0680161943319838,0.56,0.9090909090909091,11,10,1,1,0.12303302492608713,0.0010449320794148381,20.694444444444446,333459.7990804369,6,4
ATE-N,+both (recommendation 1),all 7 records,0.5126853377265239,0.6770753848261754,0.36732766761095376,0.8484187568157033,0.813953488372093,43,35,1,1,0.12558230242817775,0.00013061650992685477,4.8731884057971016,428619.09242275456,42,26
