09-19-2026 11:53:22 RAM 3570/7486MB (lfb 9x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.187C soc2@47.906C/48.031C soc0@48.062C/48.093C gpu@48.156C/48.312C tj@48.156C/48.312C soc1@47.031C/47.125C VDD_IN 5692mW/5891mW/6090mW VDD_CPU_GPU_CV 1947mW/2106mW/2265mW VDD_SOC 1393mW/1412mW/1430mW
09-19-2026 11:53:22 RAM 3564/7486MB (lfb 9x4MB) CPU [0%@1497,9%@1497,9%@1497,20%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.156C/48.187C soc2@47.875C/48.031C soc0@48.093C/48.093C gpu@48.218C/48.312C tj@48.218C/48.312C soc1@46.937C/47.125C VDD_IN 5413mW/5732mW/6090mW VDD_CPU_GPU_CV 1751mW/1988mW/2265mW VDD_SOC 1393mW/1405mW/1430mW
09-19-2026 11:53:22 RAM 3645/7486MB (lfb 8x4MB) CPU [81%@1497,75%@1497,90%@1497,100%@1497,72%@1497,63%@1497] GR3D_FREQ 0% cpu@48.781C/48.781C soc2@48.031C/48.031C soc0@48.062C/48.093C gpu@48.656C/48.656C tj@48.781C/48.781C soc1@47.062C/47.125C VDD_IN 5851mW/5762mW/6090mW VDD_CPU_GPU_CV 1987mW/1988mW/2265mW VDD_SOC 1433mW/1412mW/1433mW
09-19-2026 11:53:22 RAM 3644/7486MB (lfb 8x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.781C soc2@48C/48.031C soc0@48.062C/48.093C gpu@48.406C/48.656C tj@48.406C/48.781C soc1@47.062C/47.125C VDD_IN 5493mW/5708mW/6090mW VDD_CPU_GPU_CV 1751mW/1940mW/2265mW VDD_SOC 1433mW/1416mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.906C/48.781C soc2@47.843C/48.031C soc0@48.156C/48.156C gpu@48.312C/48.656C tj@48.312C/48.781C soc1@47C/47.125C VDD_IN 5223mW/5627mW/6090mW VDD_CPU_GPU_CV 1552mW/1876mW/2265mW VDD_SOC 1393mW/1413mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.781C soc2@47.75C/48.031C soc0@48.062C/48.156C gpu@48.156C/48.656C tj@48.156C/48.781C soc1@47.093C/47.125C VDD_IN 4984mW/5535mW/6090mW VDD_CPU_GPU_CV 1393mW/1807mW/2265mW VDD_SOC 1395mW/1410mW/1433mW
09-19-2026 11:53:23 RAM 3645/7486MB (lfb 8x4MB) CPU [9%@1497,36%@1497,11%@1497,30%@1497,9%@1497,16%@1497] GR3D_FREQ 24% cpu@48.25C/48.781C soc2@47.875C/48.031C soc0@48.031C/48.156C gpu@48.312C/48.656C tj@48.312C/48.781C soc1@47.031C/47.125C VDD_IN 5023mW/5471mW/6090mW VDD_CPU_GPU_CV 1393mW/1755mW/2265mW VDD_SOC 1395mW/1408mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.968C/48.781C soc2@47.906C/48.031C soc0@48.093C/48.156C gpu@48.281C/48.656C tj@48.281C/48.781C soc1@47.156C/47.156C VDD_IN 4904mW/5408mW/6090mW VDD_CPU_GPU_CV 1275mW/1702mW/2265mW VDD_SOC 1355mW/1402mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.937C/48.781C soc2@47.781C/48.031C soc0@48.187C/48.187C gpu@48.156C/48.656C tj@48.187C/48.781C soc1@47.031C/47.156C VDD_IN 4744mW/5342mW/6090mW VDD_CPU_GPU_CV 1196mW/1651mW/2265mW VDD_SOC 1355mW/1398mW/1433mW
09-19-2026 11:53:23 RAM 3644/7486MB (lfb 8x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.093C/48.781C soc2@47.812C/48.031C soc0@48.218C/48.218C gpu@48.312C/48.656C tj@48.312C/48.781C soc1@47C/47.156C VDD_IN 4672mW/5281mW/6090mW VDD_CPU_GPU_CV 1116mW/1602mW/2265mW VDD_SOC 1355mW/1394mW/1433mW
