report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
61,0.516667,15038.4,1.599387,60.12473,0,14946.5,3.694439,59.92423,0,15271.2,-0.491527,59.98601,0,54.2245,1.627949,60.04663,0,44.8795,3.726538,59.94988,0,42.828,-0.562124,60.03730,0,PMU
62,0.525000,15069.2,1.594077,59.89859,0,15009,3.699505,60.09675,0,15181.8,-0.489635,60.03614,0,54.087,1.628315,60.00699,0,45.016,3.730444,60.07460,0,42.5843,-0.562490,59.99301,0,PMU
63,0.533333,15041.4,1.600913,60.13056,0,14950.5,3.695782,59.92889,0,15276.3,-0.490062,59.99184,0,54.1064,1.630085,60.03380,0,44.8272,3.726782,59.93006,0,42.8101,-0.561330,60.02215,0,PMU
64,0.541667,15066.2,1.595236,59.89159,0,15007.2,3.700726,60.09442,0,15178.9,-0.488353,60.03263,0,54.0166,1.629719,59.99301,0,44.9666,3.732031,60.10025,0,42.556,-0.560842,60.00933,0,PMU
65,0.550000,15040.1,1.601706,60.12356,0,14948.5,3.696637,59.92190,0,15274.8,-0.489207,59.98369,0,54.2309,1.632892,60.06061,0,44.8989,3.728979,59.94172,0,42.8925,-0.558828,60.03847,0,PMU
66,0.558333,15069.2,1.596335,59.89742,0,15008.6,3.701702,60.09675,0,15182.4,-0.487377,60.03497,0,54.462,1.632526,59.99301,0,45.3561,3.734167,60.09908,0,42.9641,-0.557974,60.01632,0,PMU
67,0.566667,15040.4,1.602865,60.12472,0,14948.2,3.697735,59.92423,0,15275.4,-0.488109,59.98601,0,54.9017,1.635028,60.04779,0,45.4952,3.731420,59.94754,0,43.4689,-0.555349,60.05012,0,PMU
68,0.575000,15067.9,1.597189,59.89160,0,15007.2,3.702679,60.09442,0,15179.7,-0.486461,60.03147,0,55.2751,1.635273,60.00466,0,46.1709,3.737646,60.11890,0,43.6889,-0.552725,60.05012,0,PMU
69,0.583333,15042.2,1.603720,60.12472,0,14950.4,3.698651,59.92307,0,15277.3,-0.487193,59.98601,0,55.7166,1.637897,60.05012,0,46.3257,3.734960,59.94871,0,44.2839,-0.549124,60.06877,0,PMU
70,0.591667,15069.6,1.598410,59.89859,0,15009.2,3.703900,60.10025,0,15181.9,-0.485240,60.03730,0,55.8849,1.636676,59.97669,0,46.7362,3.739658,60.08972,0,44.2103,-0.548819,60.00583,0,PMU
71,0.600000,15041.1,1.604941,60.12472,0,14949.1,3.699932,59.92423,0,15275.2,-0.485912,59.98718,0,56.0039,1.638629,60.03730,0,46.6068,3.736059,59.93127,0,44.4143,-0.547781,60.01982,0,PMU
72,0.608333,15068.5,1.599509,59.89626,0,15008.4,3.704937,60.09559,0,15181.1,-0.484203,60.03264,0,55.9097,1.637958,59.98718,0,46.7829,3.740757,60.08972,0,44.2674,-0.547781,60.00000,0,PMU
73,0.616667,15043.1,1.606283,60.12939,0,14951.1,3.701214,59.92889,0,15277.7,-0.484630,59.99184,0,55.9581,1.639667,60.03264,0,46.5611,3.736242,59.91378,0,44.4931,-0.546255,60.02914,0,PMU
74,0.625000,15069.1,1.601157,59.90209,0,15008.9,3.706524,60.10141,0,15182.5,-0.482555,60.03963,0,55.7046,1.637592,59.96037,0,46.6257,3.739597,60.06407,0,44.1418,-0.548941,59.94871,0,PMU
