tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method,kappa_h,gap
147,33,0,0.8166666666666667,1.0,0.8990825688073394,2,2,1.0,0,0.0,0.0,0.7758620689655172,1.288888888888889,232,True,55,Current.Ia,per-channel statistical (offline oracle),,
176,1,0,0.9943502824858758,1.0,0.9971671388101983,2,2,1.0,0,0.0,0.0,0.759656652360515,1.3163841807909604,233,True,55,Current.Ib,per-channel statistical (offline oracle),,
60,109,10,0.35502958579881655,0.8571428571428571,0.502092050209205,2,1,0.5,0,0.0,0.0,0.7971698113207547,1.2544378698224852,212,True,55,Current.Ic,per-channel statistical (offline oracle),,
3,1548,0,0.0019342359767891683,1.0,0.003861003861003861,1,1,1.0,0,0.0,0.0,0.8103448275862069,1.2340425531914894,1914,True,677,Voltage.Va,per-channel statistical (offline oracle),,
0,1551,0,0.0,0.0,0.0,0,0,,1,,,0.8103448275862069,1.2340425531914894,1914,False,677,Voltage.Vb,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1914,False,677,Voltage.Vc,per-channel statistical (offline oracle),,
11,1275,44,0.008553654743390357,0.2,0.01640566741237882,5,1,0.2,0,0.0,0.0,0.7627520759193357,1.3110419906687403,1686,True,677,Current.Ia,per-channel statistical (offline oracle),,
45,1241,11,0.034992223950233284,0.8035714285714286,0.06706408345752608,4,1,0.25,0,0.0,0.0,0.7751657625075347,1.2900466562986004,1659,True,677,Current.Ib,per-channel statistical (offline oracle),,
35,0,1,1.0,0.9722222222222222,0.9859154929577464,1,1,1.0,0,0.0,0.0,0.021224984839296544,47.114285714285714,1649,True,677,Current.Ic,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Va,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vb,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Voltage.Vc,per-channel statistical (offline oracle),,
18,77,8,0.18947368421052632,0.6923076923076923,0.2975206611570248,3,1,0.3333333333333333,0,0.0,0.0,0.06624825662482567,15.094736842105261,1434,True,901,Current.Ia,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Current.Ib,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Current.Ic,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Voltage.Va,per-channel statistical (offline oracle),,
5,1,0,0.8333333333333334,1.0,0.9090909090909091,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Voltage.Vb,per-channel statistical (offline oracle),,
5,1,0,0.8333333333333334,1.0,0.9090909090909091,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Voltage.Vc,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Current.Ia,per-channel statistical (offline oracle),,
6,2,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.006700167504187605,149.25,1194,True,907,Current.Ib,per-channel statistical (offline oracle),,
6,54,0,0.1,1.0,0.18181818181818182,1,1,1.0,0,0.0,0.0,0.05025125628140704,19.9,1194,True,907,Current.Ic,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Va,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vb,per-channel statistical (offline oracle),,
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Voltage.Vc,per-channel statistical (offline oracle),,
4,2,0,0.6666666666666666,1.0,0.8,1,1,1.0,0,0.0,0.0,0.2608695652173913,3.8333333333333335,23,True,971,Current.Ia,per-channel statistical (offline oracle),,
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.18181818181818182,5.5,22,True,971,Current.Ib,per-channel statistical (offline oracle),,
4,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.17391304347826086,5.75,23,True,971,Current.Ic,per-channel statistical (offline oracle),,
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Va,hindsight ceiling (offline oracle),0.75,0.5
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Voltage.Vb,hindsight ceiling (offline oracle),3.0,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Voltage.Vc,hindsight ceiling (offline oracle),2.25,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ia,hindsight ceiling (offline oracle),0.5,0.5
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Current.Ib,hindsight ceiling (offline oracle),0.75,0.5
6,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.02564102564102564,39.0,234,True,45,Current.Ic,hindsight ceiling (offline oracle),3.75,0.5
148,0,8,1.0,0.9487179487179487,0.9736842105263158,2,2,1.0,0,0.5,4.166666666666667,0.6324786324786325,1.5810810810810811,234,True,55,Voltage.Va,hindsight ceiling (offline oracle),4.0,0.5
69,3,3,0.9583333333333334,0.9583333333333334,0.9583333333333334,2,2,1.0,0,1.5,12.5,0.3076923076923077,3.25,234,True,55,Voltage.Vb,hindsight ceiling (offline oracle),3.75,0.5
41,10,5,0.803921568627451,0.8913043478260869,0.845360824742268,3,3,1.0,0,0.0,0.0,0.21794871794871795,4.588235294117647,234,True,55,Voltage.Vc,hindsight ceiling (offline oracle),3.75,0.5
142,0,5,1.0,0.9659863945578231,0.9826989619377162,2,2,1.0,0,0.5,4.166666666666667,0.6120689655172413,1.6338028169014085,232,True,55,Current.Ia,hindsight ceiling (offline oracle),9.0,0.5
176,0,0,1.0,1.0,1.0,2,2,1.0,0,0.0,0.0,0.7553648068669528,1.3238636363636362,233,True,55,Current.Ib,hindsight ceiling (offline oracle),2.25,0.5
60,0,10,1.0,0.8571428571428571,0.923076923076923,2,1,0.5,0,0.0,0.0,0.2830188679245283,3.533333333333333,212,True,55,Current.Ic,hindsight ceiling (offline oracle),8.5,0.5
3,6,0,0.3333333333333333,1.0,0.5,1,1,1.0,1,0.0,0.0,0.004702194357366771,212.66666666666666,1914,True,677,Voltage.Va,hindsight ceiling (offline oracle),4.0,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1914,False,677,Voltage.Vb,hindsight ceiling (offline oracle),6.0,0.5
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1914,False,677,Voltage.Vc,hindsight ceiling (offline oracle),2.75,0.5
11,0,44,1.0,0.2,0.33333333333333337,5,1,0.2,0,0.0,0.0,0.006524317912218268,153.27272727272728,1686,True,677,Current.Ia,hindsight ceiling (offline oracle),11.25,0.5
45,1,11,0.9782608695652174,0.8035714285714286,0.8823529411764706,4,1,0.25,0,0.0,0.0,0.027727546714888487,36.065217391304344,1659,True,677,Current.Ib,hindsight ceiling (offline oracle),11.0,0.5
35,0,1,1.0,0.9722222222222222,0.9859154929577464,1,1,1.0,0,1.0,8.333333333333334,0.021224984839296544,47.114285714285714,1649,True,677,Current.Ic,hindsight ceiling (offline oracle),5.0,4.0
